Source,Category,Location (If Applicable),URL
Daily Maverick,Johannesburg,Johannesburg,https://www.dailymaverick.co.za/johannesburg/
Daily Maverick,Nelson Mandela Bay,Nelson Mandela Bay,https://www.dailymaverick.co.za/nelson-mandela-bay/
Daily Maverick,Maverick News,,https://www.dailymaverick.co.za/section/maverick-news/
Daily Maverick,Politics,,https://www.dailymaverick.co.za/section/politics/
Daily Maverick,Business,,https://www.dailymaverick.co.za/business-maverick/
Daily Maverick,Social Justice,,https://www.dailymaverick.co.za/maverick-citizen/
Daily Maverick,Earth,,https://www.dailymaverick.co.za/maverick-earth/
Daily Maverick,Sport,,https://www.dailymaverick.co.za/section/sport/
Daily Maverick,Investigations,,https://www.dailymaverick.co.za/section/scorpio/
Daily Maverick,Life,,https://www.dailymaverick.co.za/maverick-life/
Daily Maverick,TGI Food,,https://www.dailymaverick.co.za/section/tgifood/
Daily Maverick,Analysis,,https://www.dailymaverick.co.za/section/analysis/
Daily Maverick,Editorials,,https://www.dailymaverick.co.za/section/editorial/
Daily Maverick,Op-eds,,https://www.dailymaverick.co.za/section/op-eds/
IOL,Politics,,https://iol.co.za/news/politics/
IOL,Crime & Courts,,https://iol.co.za/news/crime-and-courts/
IOL,South Africa,,https://iol.co.za/news/south-africa/
IOL,Africa,,https://iol.co.za/news/africa/
IOL,World,,https://iol.co.za/news/world/
IOL,BRICS,,https://iol.co.za/news/brics/
IOL,Energy,,https://iol.co.za/news/energy/
IOL,Environment,,https://iol.co.za/news/environment/
IOL,Feel Good,,https://iol.co.za/news/feel-good/
IOL,Government at Work,,https://iol.co.za/government-at-work/
IOL,Opinion,,https://iol.co.za/news/opinion/
IOL,Entertainment,,https://iol.co.za/entertainment/
IOL,Lifestyle,,https://iol.co.za/lifestyle/
IOL,Travel,,https://iol.co.za/travel/
IOL,Technology,,https://iol.co.za/technology/
IOL,Sport,,https://iol.co.za/sport/
IOL,Motoring,,https://iol.co.za/motoring/
IOL,Opinion,,https://iol.co.za/opinion/
ENCA,News,,https://www.enca.com/news
ENCA,Business,,https://www.enca.com/business
ENCA,Weather,,https://www.enca.com/weather
ENCA,Enuus,,https://www.enca.com/enuus
ENCA,Sport,,https://www.enca.com/sport
ENCA,Opinion,,https://www.enca.com/opinion
